,YEAR,TITLE,Title_Count
3644,2020,Teacher,2796
3461,2020,Police Officer,1119
3323,2020,Fire Fighter,726
3438,2020,Police Detective,286
3327,2020,Fire Lieutenant,158
2959,2019,Teacher,2586
2777,2019,Police Officer,1086
2638,2019,Fire Fighter,728
2753,2019,Police Detective,297
2642,2019,Fire Lieutenant,151
2291,2018,Teacher,2521
2117,2018,Police Officer,1102
1983,2018,Fire Fighter,671
2094,2018,Police Detective,286
1987,2018,Fire Lieutenant,146
1657,2017,Teacher,1378
1497,2017,Police Officer,1062
1375,2017,Fire Fighter,666
1473,2017,Police Detective,287
1379,2017,Fire Lieutenant,149
1087,2016,Teacher,1684
923,2016,Police Officer,984
817,2016,Fire Fighter,628
899,2016,Police Detective,288
821,2016,Fire Lieutenant,144
537,2015,Teacher,1805
370,2015,Police Officer,986
265,2015,Fire Fighter,628
346,2015,Police Detective,251
269,2015,Fire Lieutenant,150
